%0.008544482743	0.09299271545	0.1120859617
%0.995100995	0.9515722038	0.9484125792
%Normed hits	Normed Secret Hits	Normed L_Privacy Hits
1	0	1
1	0.5	0.5
1	0.3333333333	0.3333333333
1	0.25	0.25
1	0.4	0.2
1	0.5	0.1666666667
1	0.4285714286	0.1428571429
1	0.375	0.25
1	0.4444444444	0.3333333333
1	0.5	0.4
1	0.5454545455	0.4545454545
1	0.5833333333	0.5
1	0.6153846154	0.5384615385
1	0.6428571429	0.5714285714
1	0.6666666667	0.6
1	0.6875	0.625
1	0.7058823529	0.6470588235
1	0.6666666667	0.6666666667
1	0.6842105263	0.6315789474
1	0.7	0.6
1	0.6666666667	0.619047619
1	0.6818181818	0.6363636364
1	0.6956521739	0.652173913
1	0.7083333333	0.6666666667
1	0.72	0.68
1	0.7307692308	0.6923076923
1	0.7407407407	0.7037037037
1	0.75	0.7142857143
1	0.7586206897	0.724137931
1	0.7666666667	0.7333333333
1	0.7741935484	0.7419354839
1	0.78125	0.75
1	0.7878787879	0.7575757576
1	0.7941176471	0.7647058824
1	0.7714285714	0.7714285714
1	0.7777777778	0.75
1	0.7837837838	0.7567567568
1	0.7894736842	0.7368421053
1	0.7948717949	0.7435897436
1	0.8	0.75
0.9756097561	0.8048780488	0.756097561
0.9761904762	0.8095238095	0.7619047619
0.976744186	0.8139534884	0.7674418605
0.9772727273	0.7954545455	0.75
0.9777777778	0.7777777778	0.7333333333
0.9782608696	0.7608695652	0.7173913043
0.9787234043	0.7446808511	0.7234042553
0.9791666667	0.7291666667	0.7291666667
0.9795918367	0.7142857143	0.7346938776
0.98	0.7	0.74
0.9803921569	0.7058823529	0.7450980392
0.9807692308	0.7115384615	0.75
0.9811320755	0.7169811321	0.7547169811
0.9814814815	0.7037037037	0.7592592593
0.9818181818	0.7090909091	0.7636363636
0.9821428571	0.6964285714	0.7678571429
0.9824561404	0.6842105263	0.7719298246
0.9827586207	0.6724137931	0.775862069
0.9830508475	0.6610169492	0.7796610169
0.9833333333	0.65	0.7833333333
0.9836065574	0.6393442623	0.7868852459
0.9838709677	0.6451612903	0.7903225806
0.9841269841	0.6507936508	0.7936507937
0.984375	0.65625	0.796875
0.9846153846	0.6615384615	0.7846153846
0.9848484848	0.6666666667	0.7727272727
0.9850746269	0.671641791	0.7611940299
0.9852941176	0.6764705882	0.7647058824
0.9855072464	0.6811594203	0.768115942
0.9857142857	0.6857142857	0.7571428571
0.985915493	0.6901408451	0.7464788732
0.9861111111	0.6944444444	0.75
0.9863013699	0.698630137	0.7534246575
0.9864864865	0.7027027027	0.7432432432
0.9866666667	0.7066666667	0.7333333333
0.9868421053	0.7105263158	0.7236842105
0.987012987	0.7142857143	0.7142857143
0.9871794872	0.7179487179	0.7051282051
0.9873417722	0.7215189873	0.6962025316
0.9875	0.725	0.6875
0.987654321	0.7283950617	0.6790123457
0.987804878	0.7317073171	0.6707317073
0.9879518072	0.734939759	0.6626506024
0.9880952381	0.7380952381	0.6547619048
0.9882352941	0.7294117647	0.6588235294
0.988372093	0.7209302326	0.6627906977
0.9885057471	0.7126436782	0.6666666667
0.9886363636	0.7159090909	0.6704545455
0.9887640449	0.7078651685	0.6741573034
0.9888888889	0.7111111111	0.6777777778
0.989010989	0.7142857143	0.6813186813
0.9891304348	0.7173913043	0.6847826087
0.9892473118	0.7204301075	0.688172043
0.9893617021	0.7234042553	0.6914893617
0.9894736842	0.7263157895	0.6947368421
0.9895833333	0.7291666667	0.6979166667
0.9896907216	0.7319587629	0.7010309278
0.9897959184	0.7244897959	0.7040816327
0.9898989899	0.7171717172	0.7070707071
0.99	0.71	0.71
0.9900990099	0.702970297	0.7128712871
0.9901960784	0.7058823529	0.7156862745
0.9902912621	0.7087378641	0.7184466019
0.9903846154	0.7115384615	0.7211538462
0.9904761905	0.7142857143	0.7238095238
0.9905660377	0.7169811321	0.7264150943
0.9906542056	0.7196261682	0.7289719626
0.9907407407	0.7222222222	0.7314814815
0.9908256881	0.7247706422	0.7339449541
0.9909090909	0.7272727273	0.7363636364
0.990990991	0.7297297297	0.7387387387
0.9910714286	0.7232142857	0.7410714286
0.9911504425	0.7256637168	0.7433628319
0.9912280702	0.7280701754	0.7456140351
0.9913043478	0.7304347826	0.747826087
0.9913793103	0.724137931	0.75
0.9914529915	0.7179487179	0.7521367521
0.9915254237	0.7118644068	0.7542372881
0.9915966387	0.7058823529	0.756302521
0.9916666667	0.7	0.75
0.9917355372	0.7024793388	0.7520661157
0.9918032787	0.7049180328	0.7540983607
0.9918699187	0.7073170732	0.756097561
0.9919354839	0.7096774194	0.7580645161
0.992	0.712	0.76
0.9920634921	0.7142857143	0.7619047619
0.9921259843	0.7165354331	0.7637795276
0.9921875	0.71875	0.765625
0.992248062	0.7209302326	0.7674418605
0.9923076923	0.7230769231	0.7615384615
0.9923664122	0.7251908397	0.7557251908
0.9924242424	0.7272727273	0.75
0.992481203	0.7293233083	0.7443609023
0.9925373134	0.723880597	0.7388059701
0.9925925926	0.7259259259	0.7333333333
0.9926470588	0.7279411765	0.7352941176
0.9927007299	0.7299270073	0.7299270073
0.9927536232	0.731884058	0.7246376812
0.9928057554	0.7338129496	0.7194244604
0.9928571429	0.7357142857	0.7142857143
0.9929078014	0.7375886525	0.7092198582
0.9929577465	0.7394366197	0.7042253521
0.993006993	0.7412587413	0.6993006993
0.9930555556	0.7430555556	0.6944444444
0.9931034483	0.7379310345	0.6896551724
0.9931506849	0.7397260274	0.6849315068
0.9931972789	0.7414965986	0.6870748299
0.9932432432	0.7432432432	0.6824324324
0.9932885906	0.744966443	0.677852349
0.9933333333	0.7466666667	0.6733333333
0.9933774834	0.7483443709	0.6688741722
0.9934210526	0.75	0.6644736842
0.9934640523	0.7516339869	0.660130719
0.9935064935	0.7532467532	0.6558441558
0.9935483871	0.7548387097	0.6516129032
0.9935897436	0.7564102564	0.6474358974
0.9936305732	0.7579617834	0.6433121019
0.9936708861	0.7594936709	0.6392405063
0.9937106918	0.7610062893	0.6352201258
0.99375	0.7625	0.63125
0.9937888199	0.7639751553	0.6273291925
0.9938271605	0.7654320988	0.6296296296
0.9938650307	0.7668711656	0.6319018405
0.987804878	0.7682926829	0.6341463415
0.9818181818	0.7696969697	0.6363636364
0.9819277108	0.7710843373	0.6385542169
0.9820359281	0.7724550898	0.6407185629
0.9821428571	0.7738095238	0.6428571429
0.9822485207	0.775147929	0.6449704142
0.9823529412	0.7764705882	0.6470588235
0.9824561404	0.7777777778	0.649122807
0.9825581395	0.7790697674	0.6511627907
0.9826589595	0.7803468208	0.6531791908
0.9827586207	0.7816091954	0.6551724138
0.9828571429	0.7828571429	0.6571428571
0.9829545455	0.7840909091	0.6590909091
0.9830508475	0.7853107345	0.6610169492
0.9831460674	0.7865168539	0.6629213483
0.9832402235	0.7877094972	0.6648044693
0.9833333333	0.7888888889	0.6666666667
0.9834254144	0.7845303867	0.6685082873
0.9835164835	0.7857142857	0.6703296703
0.9836065574	0.7868852459	0.6721311475
0.9836956522	0.7880434783	0.6739130435
0.9837837838	0.7891891892	0.6756756757
0.9838709677	0.7903225806	0.6774193548
0.9839572193	0.7914438503	0.679144385
0.9840425532	0.7925531915	0.6808510638
0.9841269841	0.7936507937	0.6825396825
0.9842105263	0.7947368421	0.6842105263
0.9842931937	0.7958115183	0.6858638743
0.984375	0.796875	0.6875
0.9844559585	0.7979274611	0.689119171
0.9845360825	0.7989690722	0.6907216495
0.9846153846	0.8	0.6923076923
0.9846938776	0.8010204082	0.693877551
0.9847715736	0.8020304569	0.6954314721
0.9848484848	0.803030303	0.696969697
0.9849246231	0.8040201005	0.6984924623
0.985	0.805	0.7
0.9850746269	0.8059701493	0.7014925373
0.9851485149	0.8069306931	0.702970297
0.9852216749	0.8078817734	0.7044334975
0.9852941176	0.8088235294	0.7058823529
0.9853658537	0.8097560976	0.7073170732
0.9854368932	0.8106796117	0.7087378641
0.9855072464	0.8115942029	0.7101449275
0.9855769231	0.8125	0.7115384615
0.985645933	0.8133971292	0.7129186603
0.9857142857	0.8142857143	0.7142857143
0.9857819905	0.8151658768	0.7156398104
0.9858490566	0.8160377358	0.7169811321
0.985915493	0.8169014085	0.7183098592
0.9859813084	0.8177570093	0.7196261682
0.9860465116	0.8186046512	0.7209302326
0.9861111111	0.8194444444	0.7222222222
0.9861751152	0.8202764977	0.7235023041
0.9862385321	0.8211009174	0.7247706422
0.9863013699	0.8219178082	0.7260273973
0.9863636364	0.8227272727	0.7272727273
0.9864253394	0.8235294118	0.7285067873
0.9864864865	0.8243243243	0.7297297297
0.9865470852	0.8251121076	0.730941704
0.9866071429	0.8258928571	0.7321428571
0.9866666667	0.8266666667	0.7333333333
0.9867256637	0.8274336283	0.7345132743
