%0.01689007775	0.01020056317
%0.9936578689	0.9968674525
%Normed hits	Normed Secret Hits
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
0.9928571429	1
0.9929078014	1
0.9929577465	1
0.993006993	1
0.9930555556	1
0.9931034483	1
0.9931506849	1
0.9931972789	1
0.9932432432	1
0.9932885906	1
0.9933333333	1
0.9867549669	1
0.9868421053	1
0.9869281046	1
0.9805194805	1
0.9806451613	1
0.9807692308	1
0.9808917197	1
0.9810126582	1
0.9811320755	1
0.98125	1
0.9813664596	1
0.975308642	1
0.9754601227	1
0.9756097561	1
0.9696969697	1
0.9698795181	1
0.9700598802	1
0.9642857143	1
0.9585798817	1
0.9529411765	1
0.9532163743	1
0.9534883721	1
0.9479768786	1
0.9482758621	1
0.9485714286	1
0.9488636364	1
0.9491525424	1
0.9494382022	1
0.9497206704	1
0.95	1
0.9447513812	1
0.9450549451	1
0.9453551913	1
0.9402173913	1
0.9351351351	1
0.935483871	1
0.935828877	1
0.9361702128	1
0.9365079365	1
0.9368421053	1
0.9371727749	1
0.9375	0.9947916667
0.9378238342	0.9896373057
0.9381443299	0.9845360825
0.9384615385	0.9846153846
0.9387755102	0.9846938776
0.9390862944	0.9847715736
0.9393939394	0.9848484848
0.9396984925	0.9849246231
0.94	0.985
0.9402985075	0.9850746269
0.9405940594	0.9851485149
0.9408866995	0.9852216749
0.9411764706	0.9852941176
0.9414634146	0.9853658537
0.9417475728	0.9854368932
0.9420289855	0.9855072464
0.9423076923	0.9855769231
0.9425837321	0.985645933
0.9428571429	0.9857142857
0.9431279621	0.9857819905
0.9433962264	0.9858490566
0.9436619718	0.985915493
0.9439252336	0.9859813084
0.9441860465	0.9860465116
0.9444444444	0.9861111111
0.9447004608	0.9861751152
0.9449541284	0.9862385321
0.9452054795	0.9863013699
0.9454545455	0.9863636364
0.9457013575	0.9864253394
0.9459459459	0.9864864865
0.9461883408	0.9865470852
0.9464285714	0.9866071429
0.9466666667	0.9866666667
0.9469026549	0.9867256637
0.9471365639	0.986784141
0.9473684211	0.9868421053
0.9475982533	0.9868995633
