%0.02812780393	0.008043254952
%0.9960074568	0.9958844201
%Normed hits	Normed Secret Hits
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
0.9928571429	1
0.9929078014	1
0.9929577465	1
0.993006993	1
0.9930555556	1
0.9931034483	1
0.9931506849	1
0.9931972789	1
0.9932432432	1
0.9932885906	1
0.9933333333	1
0.9933774834	1
0.9934210526	1
0.9934640523	1
0.9935064935	1
0.9935483871	1
0.9935897436	1
0.9936305732	1
0.9936708861	1
0.9937106918	1
0.99375	1
0.9937888199	1
0.9938271605	1
0.9938650307	1
0.993902439	1
0.9939393939	1
0.9939759036	1
0.994011976	1
0.994047619	1
0.9940828402	1
0.9941176471	1
0.9941520468	1
0.9941860465	1
0.9942196532	1
0.9942528736	1
0.9942857143	0.9942857143
0.9943181818	0.9943181818
0.9943502825	0.9943502825
0.9943820225	0.9943820225
0.9944134078	0.9944134078
0.9944444444	0.9944444444
0.9944751381	0.9889502762
0.9945054945	0.989010989
0.9945355191	0.9890710383
0.9945652174	0.9891304348
0.9945945946	0.9891891892
0.9946236559	0.9892473118
0.9946524064	0.9893048128
0.9946808511	0.9893617021
0.9947089947	0.9894179894
0.9947368421	0.9894736842
0.9947643979	0.9842931937
0.9947916667	0.984375
0.9948186528	0.9844559585
0.9948453608	0.9845360825
0.9948717949	0.9846153846
0.9948979592	0.9846938776
0.9949238579	0.9847715736
0.9949494949	0.9848484848
0.9949748744	0.9849246231
0.995	0.985
0.9950248756	0.9850746269
0.995049505	0.9851485149
0.9950738916	0.9852216749
0.9950980392	0.9852941176
0.9951219512	0.9853658537
0.9951456311	0.9854368932
0.9951690821	0.9806763285
0.9951923077	0.9807692308
0.995215311	0.980861244
0.9952380952	0.980952381
0.9952606635	0.981042654
0.9952830189	0.9811320755
0.9953051643	0.9812206573
0.9953271028	0.9813084112
0.9953488372	0.9813953488
0.9953703704	0.9814814815
0.9953917051	0.9815668203
0.995412844	0.9816513761
0.99543379	0.9817351598
0.9954545455	0.9818181818
0.9954751131	0.9819004525
0.9954954955	0.981981982
0.9955156951	0.9820627803
0.9955357143	0.9821428571
