%Conventional		With Abstraction			
%Normalized U	%	Normalized U	%	Normalized S	%
0	0.02985074627	0	0.2575757576	0	0.1363636364
0.09090909091	0.07462686567	0.09090909091	0.2878787879	0.1818181818	0.1515151515
0.3333333333	0.1343283582	0.1090909091	0.303030303	0.2	0.1818181818
0.3939393939	0.1492537313	0.1454545455	0.3181818182	0.2929292929	0.196969697
0.4242424242	0.1641791045	0.1818181818	0.3333333333	0.3232323232	0.2272727273
0.4848484848	0.1791044776	0.2121212121	0.3636363636	0.3333333333	0.3636363636
0.4909090909	0.1940298507	0.2207792208	0.3787878788	0.3636363636	0.3787878788
0.4949494949	0.2089552239	0.2337662338	0.3939393939	0.4	0.4545454545
0.5	0.2985074627	0.2424242424	0.4090909091	0.4545454545	0.5
0.5272727273	0.3134328358	0.2479338843	0.4242424242	0.4675324675	0.5151515152
0.5324675325	0.328358209	0.2597402597	0.4545454545	0.4805194805	0.5606060606
0.5619834711	0.3432835821	0.2644628099	0.4696969697	0.4935064935	0.5757575758
0.5714285714	0.3582089552	0.2857142857	0.4848484848	0.5	0.6666666667
0.5785123967	0.3731343284	0.303030303	0.5	0.5064935065	0.6818181818
0.5818181818	0.3880597015	0.305785124	0.5151515152	0.5194805195	0.696969697
0.6033057851	0.4029850746	0.3305785124	0.5303030303	0.5714285714	0.7272727273
0.6233766234	0.4179104478	0.3636363636	0.5909090909	0.6262626263	0.7424242424
0.6565656566	0.4328358209	0.3719008264	0.6060606061	0.6280991736	0.7727272727
0.6611570248	0.447761194	0.3766233766	0.6515151515	0.6363636364	0.7878787879
0.6666666667	0.4626865672	0.3884297521	0.6666666667	0.6565656566	0.8181818182
0.6753246753	0.4925373134	0.3939393939	0.6818181818	0.7107438017	0.8333333333
0.6767676768	0.5074626866	0.4049586777	0.696969697	0.7171717172	0.8484848485
0.7012987013	0.5223880597	0.4242424242	0.7121212121	0.7272727273	0.8787878788
0.7107438017	0.5373134328	0.4343434343	0.7272727273	0.7676767677	0.9090909091
0.7190082645	0.552238806	0.4545454545	0.7575757576	1	1
0.7272727273	0.6119402985	0.4675324675	0.7727272727		
0.7355371901	0.6268656716	0.4747474747	0.7878787879		
0.7575757576	0.6417910448	0.4909090909	0.803030303		
0.8	0.6567164179	0.5272727273	0.8333333333		
0.8051948052	0.671641791	0.5454545455	0.8787878788		
0.8181818182	0.7611940299	0.595959596	0.8939393939		
0.8545454545	0.776119403	0.6767676768	0.9090909091		
0.8636363636	0.7910447761	0.7272727273	0.9696969697		
0.8787878788	0.8059701493	0.9090909091	1		
0.8888888889	0.8208955224				
0.8909090909	0.8358208955				
0.9191919192	0.8656716418				
0.9393939394	0.8805970149				
0.9545454545	0.8955223881				
0.9595959596	0.9104477612				
1	1				
